Name,Team,Name,Team,Season,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,IFH,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,WAR,Spd,wRC+,BsR,Def,wSB,UBR,Off,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,xBA,xSLG,xwOBA,XBR,O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),NameASCII,PlayerId,MLBAMID
"Adam Moore","TBR","Adam Moore","TBR",2018,34,8,18,20,4,2,1,0,1,2,2,1,0,7,0,0,1,0,0,0,0.222222222,1,1,0.05,0.35,0.142857142,0.263157894,0.444444444,0.707602338,0.222222222,0.3,1,0.2,0.4,0.4,0,0.25,0.25,0.5,0.30140496868836253,-0.21674076903435352,2.1198820055666294,-0.17945895779701831,0.06403186222846613,1.08035714,92.49412218167367,-0.03772404859773815,0.15703526139259338,-0.00734621356241405,-0.20000000298023224,-0.21718300639475646,0.10000000149011612,0.33333333,0.5,0.16666667,0.16666667,0.25,0.58333333,94.9530029296875,5.265100479125977,2,0.16666667,106.011,6,0.5,12,0.238,0.626,0.379,-0.030377835035324097,0.43589744,0.73333333,0.56521739,0.11764706,0.81818182,0.51282051,0.43478261,21.70833333,"Adam Moore",9362,446192
"Adam Plutko","CLE","Adam Plutko","CLE",2018,26,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5134371519393757,-0.2797748744792774,-0.5256413221664265,-0.022266304163661363,0.14285714,-100,0,0.24111802875995636,0,,-0.5256413221664265,,0,0.5,0.5,0,1,0,,,0,0,,0,0,2,,,,,0,0.66666667,0.33333333,,1,1,0.5,21.25,"Adam Plutko",15846,592644
"Adam Rosales","CLE","Adam Rosales","CLE",2018,35,13,19,21,4,2,1,0,1,4,2,1,0,5,0,0,1,0,0,0,0.210526315,0,0,0.047619047,0.238095238,0.2,0.25,0.421052631,0.671052631,0.210526316,0.23076923,0.857142857,0.071428571,0.428571428,0.5,0.142857142,0.142857142,0,0,0.2863347202539444,-0.48575342187993975,1.967700491451092,-0.613897209263973,0.09583583592315557,2.64285714,75.54640532371377,0.18073898483999074,0.647859675809741,-0.00734621356241405,0,-0.4331582244239822,0.10000000149011612,0.6,0.26666667,0.13333333,0.2,0.46666667,0.33333333,87.82935442243304,16.001000540597097,1,0.06666667,101.65,5,0.33333333,15,0.189,0.357,0.257,0.18808519840240479,0.41935484,0.66666667,0.546875,0.61538462,0.90909091,0.8,0.515625,20.79069767,"Adam Rosales",9682,489267
"Adam Wainwright","STL","Adam Wainwright","STL",2018,36,8,11,12,1,1,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0.09090909,0,0,0,0.5,0,0.09090909,0.09090909,0.18181818,0,0.2,0.333333333,0.2,0.2,0.6,0,0,0,0,0.0799573388966647,-2.2978873047491044,-0.8959136399885149,-2.3117135557790727,-0.051474843420659305,0.14285714,-57.78406835463681,-0.0024487378541380167,1.4467082023620605,-0.0024487378541380167,,-2.3141622936332107,,0.66666667,0,0.33333333,0.33333333,0.33333333,0.33333333,87.5302001953125,21.524200439453125,0,0,103.613,1,0.16666667,6,0.09,0.132,0.098,,0.34782609,0.73913043,0.54347826,0.375,0.58823529,0.52,0.5,23.78787879,"Adam Wainwright",2233,425794
"Addison Russell","CHC","Addison Russell","CHC",2018,24,130,420,465,105,78,21,1,5,52,38,40,2,99,2,2,1,7,4,0,0.25,13,0,0.086021505,0.212903225,0.404040404,0.316810344,0.34047619,0.657286534,0.09047619,0.314465408,1.283018867,0.246105919,0.423676012,0.330218068,0.141509433,0.047169811,0.095588235,0,0.2904134862350695,-9.20873016088423,45.11774934858862,-11.113083250514833,2.3275409641116735,3.986205244709354,80.42544079439374,2.529805334750563,16.957170009613037,0.511048945132643,2.0999999046325684,-8.58327791576427,1,0.30555556,0.40123457,0.29320988,0.20679012,0.50308642,0.29012346,86.66150092484423,11.83432738877531,7,0.02160494,108.157,86,0.2654321,324,0.236,0.329,0.284,2.01875638961792,0.2803943,0.67027027,0.47660501,0.5234375,0.84032258,0.74771689,0.50326442,21.9235856,"Addison Russell",14106,608365
"Adeiny Hechavarría","NYY","Adeiny Hechavarría","NYY",2018,29,18,36,37,7,5,0,0,2,3,2,1,0,10,0,0,0,0,1,0,0.194444444,2,0,0.027027027,0.27027027,0.1,0.216216216,0.361111111,0.577327327,0.166666667,0.208333333,0.75,0.192307692,0.346153846,0.461538461,0.083333333,0.166666666,0.222222222,0,0.2472659510535163,-2.035104203874579,2.287647929137239,-2.1360829434342294,-0.04947164621786882,4.013229453002651,51.70716143786361,0.17779681412503123,0.21565836668014526,0.18530757585540414,-0.10000000149011612,-1.9582861293091982,0.20000000298023224,0.30769231,0.46153846,0.23076923,0.15384615,0.46153846,0.38461538,89.89988356370192,11.071192814753605,0,0,105.626,12,0.46153846,26,,,,-0.007510761730372906,0.40983607,0.75757576,0.59055118,0.48,0.82,0.70666667,0.51968504,21.26966292,"Adeiny Hechavarria",10459,588751
"Adeiny Hechavarría","TBR","Adeiny Hechavarría","TBR",2018,29,61,217,237,56,46,7,0,3,29,26,12,1,37,0,6,2,4,1,0,0.258064516,2,0,0.050632911,0.156118143,0.324324324,0.289361702,0.331797235,0.621158937,0.073732719,0.289617486,1.174603174,0.26344086,0.397849462,0.338709677,0.063492063,0.047619047,0.027027027,0,0.2686608915145581,-8.899149253983785,18.78983062503786,-8.457359790821362,0.3517750606222442,3.2456779693298587,70.1494178205666,0.6947604434099048,3.0960403978824615,0.06042194529436529,1.600000023841858,-7.762599347411458,0.6000000238418579,0.32978723,0.32978723,0.34042553,0.17553191,0.47340426,0.35106383,86.33305532094595,13.242183540962838,4,0.0212766,105.911,58,0.30851064,188,,,,0.6343384981155396,0.37688442,0.72182254,0.55337423,0.70666667,0.90033223,0.83592018,0.51165644,22.64084507,"Adeiny Hechavarria",10459,588751
"Adeiny Hechavarría","PIT","Adeiny Hechavarría","PIT",2018,29,15,43,47,10,5,4,0,1,2,3,3,1,11,0,1,0,3,0,0,0.232558139,1,0,0.063829787,0.234042553,0.272727272,0.276595744,0.395348837,0.671944581,0.162790698,0.28125,0.625,0.212121212,0.303030303,0.484848484,0,0.0625,0.1,0,0.278187843768493,-1.3995289572592005,4.091534563053108,-1.5764241659159883,-0.007022699069326267,0.14285714,72.52829577024119,-1.0808489935006946,1.1500526070594788,-0.017141164978966117,-1.399999976158142,-2.657273159416683,-0.6000000238418579,0.48484848,0.33333333,0.18181818,0.09090909,0.54545455,0.36363636,88.61666962594697,17.850726503314394,0,0,104.596,11,0.33333333,33,,,,-1.0637078285217285,0.36708861,0.68674699,0.5308642,0.55172414,0.87719298,0.76744186,0.51234568,21.20869565,"Adeiny Hechavarria",10459,588751
"Adolis García","STL","Adolis García","STL",2018,25,21,17,17,2,1,1,0,0,3,1,0,0,7,0,0,0,0,0,0,0.117647058,0,0,0,0.411764705,0,0.117647058,0.176470588,0.294117646,0.05882353,0.2,1.25,0.1,0.5,0.4,0,0,0,0,0.12510621197083416,-2.6292004927417647,-0.6430711343309294,-2.6487876817008864,-0.2287939958781149,2.64285714,-27.61702109724458,-0.1364393385592848,0.04212874174118042,-0.0024487378541380167,-0.20000000298023224,-2.785227020260171,0.10000000149011612,0.6,0.3,0.1,0.4,0.4,0.2,84.21729736328125,14.3031005859375,0,0,97.652,1,0.1,10,0.099,0.117,0.097,-0.1339906007051468,0.31578947,0.69444444,0.5,0.58333333,0.8,0.72972973,0.48648649,20.60714286,"Adolis Garcia",19287,666969
"Adrian Beltré","TEX","Adrian Beltré","TEX",2018,39,119,433,481,118,79,23,1,15,49,65,34,2,96,6,8,0,13,1,0,0.272517321,12,0,0.07068607,0.199584199,0.354166666,0.328482328,0.434180138,0.762662466,0.161662817,0.312121212,1.048,0.257971014,0.379710144,0.36231884,0.08,0.12,0.091603053,0,0.32692467208197323,4.801122209862259,60.9968999390159,-1.6485476057376598,1.1503176281493794,2.3370603146108437,97.13303255415407,-1.4495943908113986,-2.133636236190796,-0.08650232595391572,-0.8999998569488525,-3.0981419965490584,-1.2000000476837158,0.3884058,0.32753623,0.28405797,0.14202899,0.43478261,0.42318841,88.699462890625,13.627038290334303,21,0.06086957,109.175,127,0.36811594,345,0.263,0.432,0.328,-1.363092064857483,0.2793177,0.6246122,0.45459318,0.61068702,0.86423841,0.78752887,0.50761155,22.39275568,"Adrian Beltre",639,134181
